time,P,G(i),H_sun,T2m,WS10m,Int
20140725:2310,0.0,0.0,0.0,24.55,1.58,0.0
20140726:0010,0.0,0.0,0.0,24.12,1.52,0.0
20140726:0110,0.0,0.0,0.0,23.64,1.66,0.0
20140726:0210,0.0,0.0,0.0,23.17,1.8,0.0
20140726:0310,0.0,0.0,0.0,22.69,1.94,0.0
20140726:0410,2251240.0,45.25,8.1,23.26,1.73,0.0
20140726:0510,11047360.0,181.1,19.1,23.83,1.52,0.0
20140726:0610,26059000.0,375.06,30.4,24.4,1.31,0.0
20140726:0710,43413880.0,616.11,41.7,24.46,1.12,0.0
20140726:0810,55672880.0,806.42,52.55,24.51,0.92,0.0
20140726:0910,62919720.0,932.58,62.05,24.56,0.73,0.0
20140726:1010,67560200.0,1003.76,68.03,24.53,1.11,0.0
20140726:1110,67754320.0,997.42,67.39,24.49,1.49,0.0
20140726:1210,63021840.0,910.35,60.55,24.46,1.88,0.0
20140726:1310,53925800.0,770.29,50.7,24.26,1.44,0.0
20140726:1410,22125080.0,315.76,39.73,24.07,1.01,0.0
20140726:1510,25024000.0,366.74,28.4,23.87,0.58,0.0
20140726:1610,8290120.0,158.96,17.13,24.08,0.97,0.0
20140726:1710,1643120.0,36.2,6.22,24.29,1.37,0.0
20140726:1810,0.0,0.0,0.0,24.5,1.77,0.0
20140726:1910,0.0,0.0,0.0,24.67,1.86,0.0
20140726:2010,0.0,0.0,0.0,24.83,1.95,0.0
20140726:2110,0.0,0.0,0.0,25.0,2.04,0.0
20140726:2210,0.0,0.0,0.0,25.02,1.91,0.0
20140726:2310,0.0,0.0,0.0,25.04,1.78,0.0
20140727:0010,0.0,0.0,0.0,25.06,1.66,0.0
20140727:0110,0.0,0.0,0.0,24.79,1.69,0.0
20140727:0210,0.0,0.0,0.0,24.51,1.73,0.0
20140727:0310,0.0,0.0,0.0,24.24,1.77,0.0
20140727:0410,1995480.0,41.63,7.96,24.6,1.85,0.0
20140727:0510,10776880.0,175.54,18.96,24.96,1.94,0.0
20140727:0610,26868600.0,386.84,30.27,25.31,2.03,0.0
20140727:0710,43426760.0,615.62,41.56,25.68,1.7,0.0
20140727:0810,55663680.0,806.09,52.4,26.05,1.37,0.0
20140727:0910,63692520.0,947.87,61.87,26.41,1.05,0.0
20140727:1010,68770920.0,1014.82,67.82,26.4,1.99,0.0
20140727:1110,64468080.0,930.72,67.17,26.4,2.93,0.0
20140727:1210,63352120.0,899.92,60.37,26.39,3.88,0.0
