time,P,G(i),H_sun,T2m,WS10m,Int
20140112:0110,0.0,0.0,0.0,1.05,0.62,0.0
20140112:0210,0.0,0.0,0.0,0.41,0.48,0.0
20140112:0310,0.0,0.0,0.0,-0.23,0.34,0.0
20140112:0410,0.0,0.0,0.0,0.16,0.36,0.0
20140112:0510,0.0,0.0,0.0,0.56,0.37,0.0
20140112:0610,0.0,0.0,0.0,0.96,0.39,0.0
20140112:0710,9132680.0,105.66,10.96,3.03,0.41,0.0
20140112:0810,49258240.0,503.0,18.74,5.09,0.44,0.0
20140112:0910,72568440.0,765.47,24.47,7.15,0.47,0.0
20140112:1010,79722160.0,847.73,27.56,8.24,0.9,0.0
20140112:1110,74704000.0,787.44,27.6,9.32,1.32,0.0
20140112:1210,71395680.0,748.15,24.58,10.41,1.75,0.0
20140112:1310,50543520.0,521.23,18.91,9.85,1.69,0.0
20140112:1410,27207800.0,287.54,11.17,9.29,1.62,0.0
20140112:1510,0.0,0.0,0.0,8.73,1.56,0.0
20140112:1610,0.0,0.0,0.0,7.47,1.48,0.0
20140112:1710,0.0,0.0,0.0,6.22,1.39,0.0
20140112:1810,0.0,0.0,0.0,4.97,1.31,0.0
20140112:1910,0.0,0.0,0.0,4.22,1.18,0.0
20140112:2010,0.0,0.0,0.0,3.47,1.05,0.0
20140112:2110,0.0,0.0,0.0,2.72,0.92,0.0
20140112:2210,0.0,0.0,0.0,2.53,1.17,0.0
20140112:2310,0.0,0.0,0.0,2.35,1.42,0.0
20140113:0010,0.0,0.0,0.0,2.17,1.67,0.0
20140113:0110,0.0,0.0,0.0,1.83,1.53,0.0
20140113:0210,0.0,0.0,0.0,1.49,1.39,0.0
20140113:0310,0.0,0.0,0.0,1.16,1.26,0.0
20140113:0410,0.0,0.0,0.0,0.75,1.26,0.0
20140113:0510,0.0,0.0,0.0,0.34,1.26,0.0
20140113:0610,0.0,0.0,0.0,-0.07,1.26,0.0
20140113:0710,32167960.0,328.98,11.04,2.38,0.91,0.0
20140113:0810,58725000.0,601.95,18.84,4.83,0.57,0.0
20140113:0910,76430080.0,815.92,24.6,7.28,0.22,0.0
20140113:1010,75063600.0,803.11,27.71,8.25,0.33,0.0
20140113:1110,78388160.0,845.4,27.77,9.21,0.43,0.0
20140113:1210,74944120.0,804.76,24.77,10.17,0.54,0.0
20140113:1310,45730680.0,473.77,19.1,9.18,0.76,0.0
20140113:1410,25719520.0,272.0,11.36,8.18,0.99,0.0
20140113:1510,0.0,0.0,0.0,7.19,1.21,0.0
20140113:1610,0.0,0.0,0.0,6.19,0.99,0.0
20140113:1710,0.0,0.0,0.0,5.19,0.77,0.0
20140113:1810,0.0,0.0,0.0,4.2,0.55,0.0
20140113:1910,0.0,0.0,0.0,3.58,0.66,0.0
20140113:2010,0.0,0.0,0.0,2.96,0.77,0.0
20140113:2110,0.0,0.0,0.0,2.34,0.88,0.0
20140113:2210,0.0,0.0,0.0,2.11,0.95,0.0
