time,P,G(i),H_sun,T2m,WS10m,Int
20140629:1610,3356400.0,148.88,18.04,25.77,1.02,0.0
20140629:1710,918400.0,43.44,7.42,24.78,1.26,0.0
20140629:1810,0.0,0.0,0.0,23.8,1.49,0.0
20140629:1910,0.0,0.0,0.0,23.28,1.11,0.0
20140629:2010,0.0,0.0,0.0,22.76,0.74,0.0
20140629:2110,0.0,0.0,0.0,22.24,0.36,0.0
20140629:2210,0.0,0.0,0.0,21.8,0.69,0.0
20140629:2310,0.0,0.0,0.0,21.35,1.02,0.0
20140630:0010,0.0,0.0,0.0,20.9,1.35,0.0
20140630:0110,0.0,0.0,0.0,20.51,1.16,0.0
20140630:0210,0.0,0.0,0.0,20.11,0.97,0.0
20140630:0310,0.0,0.0,0.0,19.72,0.77,0.0
20140630:0410,1484400.0,63.94,11.96,20.48,0.67,0.0
20140630:0510,6358800.0,235.59,22.82,21.24,0.56,0.0
20140630:0610,13881200.0,455.99,34.04,22.0,0.46,0.0
20140630:0710,20277200.0,667.16,45.33,23.06,0.39,0.0
20140630:0810,24928400.0,843.46,56.27,24.12,0.33,0.0
20140630:0910,27653200.0,961.24,65.93,25.18,0.26,0.0
20140630:1010,29261200.0,1021.98,71.78,25.65,0.56,0.0
20140630:1110,29053200.0,1006.73,69.98,26.12,0.86,0.0
20140630:1210,26786400.0,910.89,61.99,26.58,1.16,0.0
20140630:1310,22956800.0,764.86,51.59,26.17,1.13,0.0
20140630:1410,17255600.0,567.3,40.43,25.77,1.09,0.0
20140630:1510,10279600.0,350.77,29.14,25.36,1.06,0.0
20140630:1610,3458000.0,150.24,18.04,24.46,1.23,0.0
20140630:1710,898000.0,42.54,7.41,23.56,1.4,0.0
20140630:1810,0.0,0.0,0.0,22.66,1.57,0.0
20140630:1910,0.0,0.0,0.0,22.34,1.19,0.0
20140630:2010,0.0,0.0,0.0,22.03,0.81,0.0
20140630:2110,0.0,0.0,0.0,21.71,0.43,0.0
20140630:2210,0.0,0.0,0.0,21.68,0.62,0.0
20140630:2310,0.0,0.0,0.0,21.64,0.81,0.0
20140701:0010,0.0,0.0,0.0,21.61,1.01,0.0
20140701:0110,0.0,0.0,0.0,21.41,1.03,0.0
20140701:0210,0.0,0.0,0.0,21.2,1.06,0.0
20140701:0310,0.0,0.0,0.0,21.0,1.09,0.0
20140701:0410,1294400.0,58.17,11.88,21.96,1.07,0.0
20140701:0510,6244800.0,236.27,22.75,22.92,1.05,0.0
20140701:0610,13980000.0,461.09,33.97,23.88,1.03,0.0
20140701:0710,20240000.0,666.08,45.25,24.91,0.91,0.0
20140701:0810,23543200.0,791.9,56.19,25.94,0.79,0.0
20140701:0910,26162400.0,901.65,65.85,26.97,0.66,0.0
20140701:1010,28073600.0,974.73,71.71,27.41,0.91,0.0
20140701:1110,28732400.0,995.82,69.94,27.84,1.16,0.0
20140701:1210,26461200.0,902.23,61.98,28.28,1.41,0.0
20140701:1310,22980800.0,765.21,51.59,27.93,1.71,0.0
20140701:1410,17426000.0,572.19,40.43,27.58,2.02,0.0
20140701:1510,10397200.0,356.22,29.14,27.22,2.33,0.0
20140701:1610,3351600.0,148.82,18.04,26.41,1.98,0.0
20140701:1710,888400.0,42.54,7.4,25.6,1.63,0.0
20140701:1810,0.0,0.0,0.0,24.79,1.28,0.0
20140701:1910,0.0,0.0,0.0,24.55,1.01,0.0
20140701:2010,0.0,0.0,0.0,24.31,0.73,0.0
20140701:2110,0.0,0.0,0.0,24.07,0.46,0.0
20140701:2210,0.0,0.0,0.0,23.65,0.37,0.0
20140701:2310,0.0,0.0,0.0,23.23,0.29,0.0
20140702:0010,0.0,0.0,0.0,22.82,0.21,0.0
20140702:0110,0.0,0.0,0.0,22.5,0.62,0.0
20140702:0210,0.0,0.0,0.0,22.18,1.03,0.0
20140702:0310,0.0,0.0,0.0,21.86,1.45,0.0
20140702:0410,1460800.0,63.03,11.81,22.59,1.37,0.0
20140702:0510,6218000.0,233.12,22.67,23.31,1.3,0.0
20140702:0610,13496800.0,444.19,33.89,24.04,1.23,0.0
20140702:0710,19904000.0,653.22,45.18,25.0,1.09,0.0
20140702:0810,22994000.0,769.65,56.11,25.96,0.95,0.0
20140702:0910,25290400.0,864.9,65.77,26.92,0.81,0.0
20140702:1010,27706400.0,964.39,71.64,27.15,0.7,0.0
20140702:1110,4150000.0,148.52,69.9,27.38,0.58,0.0
20140702:1210,24792000.0,854.8,61.96,27.61,0.47,0.0
20140702:1310,21162800.0,711.38,51.58,27.53,0.76,0.0
20140702:1410,17270400.0,572.8,40.43,27.45,1.05,0.0
20140702:1510,10428000.0,359.78,29.13,27.37,1.34,0.0
20140702:1610,3373600.0,148.9,18.03,26.58,1.31,0.0
20140702:1710,887200.0,42.54,7.39,25.8,1.29,0.0
20140702:1810,0.0,0.0,0.0,25.01,1.27,0.0
20140702:1910,0.0,0.0,0.0,24.8,0.93,0.0
20140702:2010,0.0,0.0,0.0,24.59,0.59,0.0
20140702:2110,0.0,0.0,0.0,24.38,0.25,0.0
20140702:2210,0.0,0.0,0.0,23.93,0.41,0.0
20140702:2310,0.0,0.0,0.0,23.48,0.57,0.0
20140703:0010,0.0,0.0,0.0,23.04,0.73,0.0
20140703:0110,0.0,0.0,0.0,22.53,0.96,0.0
20140703:0210,0.0,0.0,0.0,22.03,1.19,0.0
20140703:0310,0.0,0.0,0.0,21.53,1.42,0.0
20140703:0410,1787200.0,72.38,11.72,22.18,0.97,0.0
20140703:0510,6144000.0,225.59,22.59,22.83,0.53,0.0
20140703:0610,13190400.0,438.03,33.81,23.48,0.08,0.0
20140703:0710,19461200.0,646.43,45.1,24.67,0.22,0.0
20140703:0810,24024000.0,817.02,56.03,25.85,0.35,0.0
20140703:0910,27293200.0,950.42,65.69,27.04,0.48,0.0
20140703:1010,29024800.0,1021.69,71.55,27.39,0.58,0.0
20140703:1110,28588800.0,1002.38,69.84,27.73,0.69,0.0
20140703:1210,26406000.0,911.72,61.93,28.08,0.79,0.0
20140703:1310,22622400.0,762.73,51.57,28.03,0.95,0.0
20140703:1410,16897200.0,561.26,40.42,27.98,1.12,0.0
20140703:1510,9890800.0,340.15,29.12,27.93,1.28,0.0
20140703:1610,3460800.0,149.98,18.02,27.07,1.41,0.0
20140703:1710,885600.0,42.54,7.37,26.2,1.53,0.0
20140703:1810,0.0,0.0,0.0,25.34,1.66,0.0
20140703:1910,0.0,0.0,0.0,25.03,1.41,0.0
20140703:2010,0.0,0.0,0.0,24.72,1.16,0.0
20140703:2110,0.0,0.0,0.0,24.42,0.91,0.0
20140703:2210,0.0,0.0,0.0,23.89,1.14,0.0
20140703:2310,0.0,0.0,0.0,23.36,1.36,0.0
20140704:0010,0.0,0.0,0.0,22.83,1.59,0.0
20140704:0110,0.0,0.0,0.0,22.42,1.5,0.0
20140704:0210,0.0,0.0,0.0,22.02,1.42,0.0
20140704:0310,0.0,0.0,0.0,21.62,1.34,0.0
20140704:0410,1062000.0,49.79,11.64,21.91,1.37,0.0
20140704:0510,6187200.0,235.21,22.51,22.21,1.41,0.0
20140704:0610,13945600.0,455.16,33.73,22.5,1.45,0.0
20140704:0710,20636000.0,667.06,45.02,23.62,1.76,0.0
20140704:0810,25608400.0,841.24,55.95,24.74,2.06,0.0
20140704:0910,28372800.0,945.88,65.59,25.86,2.37,0.0
20140704:1010,30237200.0,1017.19,71.46,26.34,2.5,0.0
20140704:1110,29136800.0,976.74,69.78,26.82,2.63,0.0
20140704:1210,24403600.0,805.93,61.9,27.3,2.76,0.0
20140704:1310,21561200.0,704.53,51.55,26.99,2.67,0.0
20140704:1410,12554000.0,409.78,40.41,26.69,2.57,0.0
20140704:1510,9342000.0,315.2,29.11,26.38,2.48,0.0
20140704:1610,3504800.0,150.32,18.0,25.45,2.13,0.0
20140704:1710,894000.0,42.54,7.35,24.52,1.78,0.0
20140704:1810,0.0,0.0,0.0,23.59,1.43,0.0
20140704:1910,0.0,0.0,0.0,23.26,1.37,0.0
20140704:2010,0.0,0.0,0.0,22.93,1.31,0.0
20140704:2110,0.0,0.0,0.0,22.61,1.24,0.0
20140704:2210,0.0,0.0,0.0,22.31,1.17,0.0
20140704:2310,0.0,0.0,0.0,22.02,1.09,0.0
20140705:0010,0.0,0.0,0.0,21.73,1.02,0.0
20140705:0110,0.0,0.0,0.0,21.39,0.88,0.0
20140705:0210,0.0,0.0,0.0,21.06,0.74,0.0
20140705:0310,0.0,0.0,0.0,20.73,0.59,0.0
20140705:0410,997600.0,47.27,11.55,21.49,0.63,0.0
20140705:0510,6116000.0,233.76,22.43,22.25,0.68,0.0
20140705:0610,14005600.0,461.87,33.65,23.01,0.72,0.0
20140705:0710,20471200.0,675.3,44.93,24.16,0.56,0.0
20140705:0810,24868400.0,844.78,55.86,25.31,0.4,0.0
20140705:0910,27668000.0,969.32,65.5,26.46,0.23,0.0
20140705:1010,28911200.0,1022.17,71.37,26.95,0.35,0.0
20140705:1110,27823600.0,976.47,69.72,27.43,0.46,0.0
20140705:1210,26340000.0,913.29,61.86,27.92,0.58,0.0
20140705:1310,22683200.0,767.07,51.53,27.64,0.7,0.0
20140705:1410,17288400.0,574.87,40.39,27.37,0.82,0.0
20140705:1510,10320800.0,355.75,29.09,27.09,0.94,0.0
20140705:1610,3511600.0,150.39,17.98,26.23,1.07,0.0
20140705:1710,889200.0,42.54,7.32,25.38,1.2,0.0
20140705:1810,0.0,0.0,0.0,24.52,1.34,0.0
20140705:1910,0.0,0.0,0.0,24.21,0.91,0.0
20140705:2010,0.0,0.0,0.0,23.9,0.48,0.0
20140705:2110,0.0,0.0,0.0,23.6,0.06,0.0
20140705:2210,0.0,0.0,0.0,23.31,0.36,0.0
20140705:2310,0.0,0.0,0.0,23.02,0.67,0.0
20140706:0010,0.0,0.0,0.0,22.74,0.98,0.0
20140706:0110,0.0,0.0,0.0,22.33,0.74,0.0
20140706:0210,0.0,0.0,0.0,21.93,0.49,0.0
20140706:0310,0.0,0.0,0.0,21.53,0.25,0.0
20140706:0410,1608800.0,66.54,11.46,22.16,0.26,0.0
20140706:0510,6060800.0,226.38,22.34,22.78,0.27,0.0
20140706:0610,13401200.0,444.35,33.56,23.41,0.28,0.0
20140706:0710,19798400.0,656.48,44.84,24.5,0.29,0.0
20140706:0810,24459600.0,832.74,55.76,25.59,0.31,0.0
20140706:0910,27472400.0,959.83,65.4,26.68,0.33,0.0
