time,P,G(i),H_sun,T2m,WS10m,Int
20140116:0410,0.0,0.0,0.0,6.15,0.71,0.0
20140116:0510,0.0,0.0,0.0,5.94,0.72,0.0
20140116:0610,0.0,0.0,0.0,5.73,0.73,0.0
20140116:0710,5740800.0,181.1,11.29,6.51,0.69,0.0
20140116:0810,12876800.0,384.26,19.18,7.29,0.64,0.0
20140116:0910,22704800.0,690.37,25.04,8.06,0.59,0.0
20140116:1010,10637600.0,320.76,28.25,8.24,1.04,0.0
20140116:1110,14052000.0,418.78,28.39,8.41,1.49,0.0
20140116:1210,22468400.0,671.39,25.42,8.58,1.93,0.0
20140116:1310,20733200.0,619.82,19.77,8.45,1.53,0.0
20140116:1410,14072800.0,425.57,12.02,8.31,1.13,0.0
20140116:1510,114800.0,11.77,2.77,8.18,0.73,0.0
20140116:1610,0.0,0.0,0.0,7.17,0.82,0.0
20140116:1710,0.0,0.0,0.0,6.16,0.91,0.0
20140116:1810,0.0,0.0,0.0,5.15,1.01,0.0
20140116:1910,0.0,0.0,0.0,4.58,1.06,0.0
20140116:2010,0.0,0.0,0.0,4.0,1.12,0.0
20140116:2110,0.0,0.0,0.0,3.43,1.17,0.0
20140116:2210,0.0,0.0,0.0,2.7,1.28,0.0
20140116:2310,0.0,0.0,0.0,1.97,1.39,0.0
20140117:0010,0.0,0.0,0.0,1.24,1.5,0.0
20140117:0110,0.0,0.0,0.0,1.19,1.61,0.0
20140117:0210,0.0,0.0,0.0,1.15,1.72,0.0
20140117:0310,0.0,0.0,0.0,1.11,1.83,0.0
20140117:0410,0.0,0.0,0.0,1.11,1.84,0.0
20140117:0510,0.0,0.0,0.0,1.12,1.84,0.0
20140117:0610,0.0,0.0,0.0,1.12,1.85,0.0
20140117:0710,12640000.0,372.75,11.39,2.6,1.5,0.0
20140117:0810,20319200.0,597.01,19.31,4.08,1.15,0.0
20140117:0910,25850800.0,781.51,25.2,5.55,0.8,0.0
20140117:1010,28115200.0,862.0,28.43,6.61,0.9,0.0
20140117:1110,27722400.0,851.71,28.59,7.67,0.99,0.0
20140117:1210,26596800.0,815.25,25.63,8.72,1.09,0.0
20140117:1310,18986800.0,568.7,19.97,8.3,1.03,0.0
20140117:1410,13636000.0,411.85,12.22,7.88,0.98,0.0
20140117:1510,177600.0,14.48,2.96,7.46,0.92,0.0
20140117:1610,0.0,0.0,0.0,5.96,1.06,0.0
20140117:1710,0.0,0.0,0.0,4.47,1.2,0.0
20140117:1810,0.0,0.0,0.0,2.97,1.34,0.0
20140117:1910,0.0,0.0,0.0,2.63,1.43,0.0
20140117:2010,0.0,0.0,0.0,2.28,1.51,0.0
20140117:2110,0.0,0.0,0.0,1.94,1.6,0.0
20140117:2210,0.0,0.0,0.0,1.75,1.67,0.0
20140117:2310,0.0,0.0,0.0,1.56,1.75,0.0
20140118:0010,0.0,0.0,0.0,1.38,1.82,0.0
20140118:0110,0.0,0.0,0.0,1.54,1.72,0.0
20140118:0210,0.0,0.0,0.0,1.71,1.63,0.0
20140118:0310,0.0,0.0,0.0,1.88,1.53,0.0
20140118:0410,0.0,0.0,0.0,2.15,1.53,0.0
20140118:0510,0.0,0.0,0.0,2.42,1.53,0.0
20140118:0610,0.0,0.0,0.0,2.69,1.53,0.0
20140118:0710,2334000.0,82.52,11.5,3.94,1.37,0.0
20140118:0810,4150800.0,134.57,19.44,5.19,1.21,0.0
20140118:0910,7286400.0,223.49,25.36,6.44,1.05,0.0
20140118:1010,6070000.0,190.0,28.62,6.87,1.21,0.0
20140118:1110,1936800.0,71.89,28.79,7.3,1.37,0.0
20140118:1210,2737600.0,95.54,25.85,7.73,1.53,0.0
20140118:1310,1874800.0,70.0,20.19,7.15,1.37,0.0
20140118:1410,1780800.0,67.05,12.43,6.56,1.21,0.0
20140118:1510,96800.0,10.86,3.16,5.97,1.05,0.0
